code,name,first_seen
bj920000,安徽凤凰,2026-03-18
bj920001,纬达光电,2026-03-18
bj920002,万达轴承,2026-03-18
bj920003,中诚咨询,2026-03-18
bj920005,鼎佳精密,2026-03-18
bj920006,晟楠科技,2026-03-18
bj920007,酉立智能,2026-03-18
bj920008,成电光信,2026-03-18
bj920009,丹娜生物,2026-03-18
bj920010,凯添燃气,2026-03-18
bj920014,特瑞斯,2026-03-18
bj920015,锦华新材,2026-03-18
bj920016,中草香料,2026-03-18
bj920017,星昊医药,2026-03-18
bj920018,宏远股份,2026-03-18
bj920019,铜冠矿建,2026-03-18
bj920020,泰凯英,2026-03-18
bj920021,流金科技,2026-03-18
bj920022,世昌股份,2026-03-18
bj920023,田野股份,2026-03-18
bj920026,卓兆点胶,2026-03-18
bj920027,交大铁发,2026-03-18
bj920029,开发科技,2026-03-18
bj920030,德众汽车,2026-03-18
bj920033,康普化学,2026-03-18
bj920035,精创电气,2026-03-18
bj920036,觅睿科技,2026-03-18
bj920037,广信科技,2026-03-18
bj920039,国义招标,2026-03-18
bj920045,蘅东光,2026-03-18
bj920046,亿能电力,2026-03-18
bj920047,诺思兰德,2026-03-18
bj920050,爱舍伦,2026-03-18
bj920056,能之光,2026-03-18
bj920057,百甲科技,2026-03-18
bj920058,华洋赛车,2026-03-18
bj920060,万源通,2026-03-18
bj920061,西磁科技,2026-03-18
bj920062,科润智控,2026-03-18
bj920066,科拜尔,2026-03-18
bj920068,天工股份,2026-03-18
bj920075,柏星龙,2026-03-18
bj920076,国亮新材,2026-03-18
bj920077,吉林碳谷,2026-03-18
bj920078,N族兴,2026-03-18
bj920080,奥美森,2026-03-18
bj920082,方正阀门,2026-03-18
bj920086,科马材料,2026-03-18
bj920087,秋乐种业,2026-03-18
bj920088,科力股份,2026-03-18
bj920089,禾昌聚合,2026-03-18
bj920090,同辉信息,2026-03-18
bj920091,大鹏工业,2026-03-18
bj920092,汉鑫科技,2026-03-18
bj920098,科隆新材,2026-03-18
bj920099,瑞华技术,2026-03-18
bj920100,三协电机,2026-03-18
bj920101,志高机械,2026-03-18
bj920106,林泰新材,2026-03-18
bj920108,宏海科技,2026-03-18
bj920110,雷特科技,2026-03-18
bj920111,聚星科技,2026-03-18
bj920112,巴兰仕,2026-03-18
bj920116,星图测控,2026-03-18
bj920118,太湖远大,2026-03-18
bj920119,美德乐,2026-03-18
bj920121,江天科技,2026-03-18
bj920122,中纺标,2026-03-18
bj920123,芭薇股份,2026-03-18
bj920124,南特科技,2026-03-18
bj920128,胜业电气,2026-03-18
bj920130,立方控股,2026-03-18
bj920132,泰鹏智能,2026-03-18
bj920139,华岭股份,2026-03-18
bj920145,恒合股份,2026-03-18
bj920146,华阳变速,2026-03-18
bj920149,旭杰科技,2026-03-18
bj920152,昆工科技,2026-03-18
bj920158,长江能科,2026-03-18
bj920159,农大科技,2026-03-18
bj920160,北矿检测,2026-03-18
bj920163,方大新材,2026-03-18
bj920166,海圣医疗,2026-03-18
bj920167,同享科技,2026-03-18
bj920168,通宝光电,2026-03-18
bj920169,七丰精工,2026-03-18
bj920171,志晟信息,2026-03-18
bj920174,五新隧装,2026-03-18
bj920175,东方碳素,2026-03-18
bj920179,凯德石英,2026-03-18
bj920180,爱得科技,2026-03-18
bj920183,海菲曼,2026-03-18
bj920184,国源科技,2026-03-18
bj920185,贝特瑞,2026-03-18
bj920187,通领科技,2026-03-18
bj920190,雷神科技,2026-03-18
bj920195,三祥科技,2026-03-18
bj920198,微创光电,2026-03-18
bj920199,倍益康,2026-03-18
bj920204,沪江材料,2026-03-18
bj920207,众诚科技,2026-03-18
bj920208,青矩技术,2026-03-18
bj920212,智新电子,2026-03-18
bj920221,易实精密,2026-03-18
bj920223,荣亿精密,2026-03-18
bj920225,利通科技,2026-03-18
bj920227,美登科技,2026-03-18
bj920230,欧康医药,2026-03-18
bj920237,力佳科技,2026-03-18
bj920239,长虹能源,2026-03-18
bj920242,建邦科技,2026-03-18
bj920245,威博液压,2026-03-18
bj920247,华密新材,2026-03-18
bj920249,利尔达,2026-03-18
bj920252,天宏锂电,2026-03-18
bj920260,中寰股份,2026-03-18
bj920261,一诺威,2026-03-18
bj920262,太湖雪,2026-03-18
bj920263,中航泰达,2026-03-18
bj920266,生物谷,2026-03-18
bj920267,鑫汇科,2026-03-18
bj920270,天铭科技,2026-03-18
bj920271,邦德股份,2026-03-18
bj920273,一致魔芋,2026-03-18
bj920274,宏裕包材,2026-03-18
bj920275,驱动力,2026-03-18
bj920278,鹿得医疗,2026-03-18
bj920284,灵鸽科技,2026-03-18
bj920299,灿能电力,2026-03-18
bj920300,辰光医疗,2026-03-18
bj920304,迪尔化工,2026-03-18
bj920305,*ST云创,2026-03-18
bj920339,恒太照明,2026-03-18
bj920344,三元基因,2026-03-18
bj920346,威贸电子,2026-03-18
bj920351,华光源海,2026-03-18
bj920357,雅葆轩,2026-03-18
bj920363,莱赛激光,2026-03-18
bj920367,新赣江,2026-03-18
bj920368,连城数控,2026-03-18
bj920370,新安洁,2026-03-18
bj920371,欧福蛋业,2026-03-18
bj920374,云里物里,2026-03-18
bj920375,派诺科技,2026-03-18
bj920378,泰德股份,2026-03-18
bj920392,佳合科技,2026-03-18
bj920394,民士达,2026-03-18
bj920395,朗鸿科技,2026-03-18
bj920396,常辅股份,2026-03-18
bj920402,硅烷科技,2026-03-18
bj920403,康农种业,2026-03-18
bj920405,海希通讯,2026-03-18
bj920407,驰诚股份,2026-03-18
bj920414,欧普泰,2026-03-18
bj920415,恒拓开源,2026-03-18
bj920418,苏轴股份,2026-03-18
bj920419,路斯股份,2026-03-18
bj920422,润普食品,2026-03-18
bj920425,乐创技术,2026-03-18
bj920427,华维设计,2026-03-18
bj920429,康比特,2026-03-18
bj920433,大唐药业,2026-03-18
bj920436,大地电气,2026-03-18
bj920438,戈碧迦,2026-03-18
bj920445,龙竹科技,2026-03-18
bj920454,同心传动,2026-03-18
bj920455,汇隆活塞,2026-03-18
bj920469,富恒新材,2026-03-18
bj920471,美邦科技,2026-03-18
bj920475,三友科技,2026-03-18
bj920476,海能技术,2026-03-18
bj920478,峆一药业,2026-03-18
bj920489,佳先股份,2026-03-18
bj920491,奥迪威,2026-03-18
bj920493,并行科技,2026-03-18
bj920496,许昌智能,2026-03-18
bj920504,博迅生物,2026-03-18
bj920505,九菱科技,2026-03-18
bj920508,殷图网联,2026-03-18
bj920509,同惠电子,2026-03-18
bj920510,丰光精密,2026-03-18
bj920519,万德股份,2026-03-18
bj920522,纳科诺尔,2026-03-18
bj920523,德瑞锂电,2026-03-18
bj920526,凯华材料,2026-03-18
bj920527,夜光明,2026-03-18
bj920533,骏创科技,2026-03-18
bj920541,铁大科技,2026-03-18
bj920547,无锡晶海,2026-03-18
bj920553,凯腾精工,2026-03-18
bj920556,雅达股份,2026-03-18
bj920564,天润科技,2026-03-18
bj920566,梓橦宫,2026-03-18
bj920570,坤博精工,2026-03-18
bj920571,国航远洋,2026-03-18
bj920575,康乐卫士,2026-03-18
bj920576,天力复合,2026-03-18
bj920578,巨能股份,2026-03-18
bj920579,机科股份,2026-03-18
bj920580,科创新材,2026-03-18
bj920592,华信永道,2026-03-18
bj920593,鼎智科技,2026-03-18
bj920599,同力股份,2026-03-18
bj920608,丰安股份,2026-03-18
bj920627,力王股份,2026-03-18
bj920634,新威凌,2026-03-18
bj920639,晨光电缆,2026-03-18
bj920640,富士达,2026-03-18
bj920641,格利尔,2026-03-18
bj920642,通易航天,2026-03-18
bj920651,天罡股份,2026-03-18
bj920656,海昇药业,2026-03-18
bj920662,方盛股份,2026-03-18
bj920663,明阳科技,2026-03-18
bj920665,科强股份,2026-03-18
bj920670,数字人,2026-03-18
bj920675,秉扬科技,2026-03-18
bj920679,前进科技,2026-03-18
bj920682,球冠电缆,2026-03-18
bj920685,新芝生物,2026-03-18
bj920689,克莱特,2026-03-18
bj920690,捷众科技,2026-03-18
bj920693,阿为特,2026-03-18
bj920694,中裕科技,2026-03-18
bj920699,海达尔,2026-03-18
bj920701,豪声电子,2026-03-18
bj920703,广厦环能,2026-03-18
bj920706,铁拓机械,2026-03-18
bj920717,瑞星股份,2026-03-18
bj920718,合肥高科,2026-03-18
bj920719,宁新新材,2026-03-18
bj920720,吉冈精密,2026-03-18
bj920725,惠丰钻石,2026-03-18
bj920726,朱老六,2026-03-18
bj920729,永顺生物,2026-03-18
bj920735,德源药业,2026-03-18
bj920748,路桥信息,2026-03-18
bj920751,惠同新材,2026-03-18
bj920753,天纺标,2026-03-18
bj920765,美之高,2026-03-18
bj920768,拾比佰,2026-03-18
bj920770,艾能聚,2026-03-18
bj920779,武汉蓝电,2026-03-18
bj920781,瑞奇智造,2026-03-18
bj920786,骑士乳业,2026-03-18
bj920790,联迪信息,2026-03-18
bj920792,东和新材,2026-03-18
bj920799,艾融软件,2026-03-18
bj920802,保丽洁,2026-03-18
bj920806,云星宇,2026-03-18
bj920807,奔朗新材,2026-03-18
bj920808,曙光数创,2026-03-18
bj920809,安达科技,2026-03-18
bj920810,春光智能,2026-03-18
bj920819,颖泰生物,2026-03-18
bj920821,则成电子,2026-03-18
bj920826,盖世食品,2026-03-18
bj920832,齐鲁华信,2026-03-18
bj920833,美心翼申,2026-03-18
bj920834,三维装备,2026-03-18
bj920837,华原股份,2026-03-18
bj920839,万通液压,2026-03-18
bj920855,浙江大农,2026-03-18
bj920856,浩淼科技,2026-03-18
bj920857,泓禧科技,2026-03-18
bj920866,绿亨科技,2026-03-18
bj920870,恒进感应,2026-03-18
bj920871,派特尔,2026-03-18
bj920873,中设咨询,2026-03-18
bj920876,慧为智能,2026-03-18
bj920879,基康技术,2026-03-18
bj920885,星辰科技,2026-03-18
bj920892,广咨国际,2026-03-18
bj920895,花溪科技,2026-03-18
bj920896,旺成科技,2026-03-18
bj920906,舜宇精工,2026-03-18
bj920914,远航精密,2026-03-18
bj920924,广脉科技,2026-03-18
bj920925,锦好医疗,2026-03-18
bj920926,鸿智科技,2026-03-18
bj920931,无锡鼎邦,2026-03-18
bj920932,科达自控,2026-03-18
bj920942,恒立钻具,2026-03-18
bj920943,优机股份,2026-03-18
bj920946,森萱医药,2026-03-18
bj920950,迅安科技,2026-03-18
bj920953,国子软件,2026-03-18
bj920957,汉维科技,2026-03-18
bj920961,创远信科,2026-03-18
bj920964,润农节水,2026-03-18
bj920970,大禹生物,2026-03-18
bj920971,天马新材,2026-03-18
bj920974,凯大催化,2026-03-18
bj920976,视声智能,2026-03-18
bj920978,开特股份,2026-03-18
bj920981,晶赛科技,2026-03-18
bj920982,锦波生物,2026-03-18
bj920985,海泰新能,2026-03-18
bj920992,中科美菱,2026-03-18
sh600000,浦发银行,2026-03-18
sh600004,白云机场,2026-03-18
sh600006,东风股份,2026-03-18
sh600007,中国国贸,2026-03-18
sh600008,首创环保,2026-03-18
sh600009,上海机场,2026-03-18
sh600010,包钢股份,2026-03-18
sh600011,华能国际,2026-03-18
sh600012,皖通高速,2026-03-18
sh600015,华夏银行,2026-03-18
sh600016,民生银行,2026-03-18
sh600017,日照港,2026-03-18
sh600018,上港集团,2026-03-18
sh600019,宝钢股份,2026-03-18
sh600020,中原高速,2026-03-18
sh600021,上海电力,2026-03-18
sh600022,山东钢铁,2026-03-18
sh600023,浙能电力,2026-03-18
sh600025,华能水电,2026-03-18
sh600026,中远海能,2026-03-18
sh600027,华电国际,2026-03-18
sh600028,中国石化,2026-03-18
sh600029,南方航空,2026-03-18
sh600030,中信证券,2026-03-18
sh600031,三一重工,2026-03-18
sh600032,浙江新能,2026-03-18
sh600033,福建高速,2026-03-18
sh600035,楚天高速,2026-03-18
sh600036,招商银行,2026-03-18
sh600037,歌华有线,2026-03-18
sh600038,中直股份,2026-03-18
sh600039,四川路桥,2026-03-18
sh600048,保利发展,2026-03-18
sh600050,中国联通,2026-03-18
sh600051,宁波联合,2026-03-18
sh600052,东望时代,2026-03-18
sh600053,九鼎投资,2026-03-18
sh600054,黄山旅游,2026-03-18
sh600055,万东医疗,2026-03-18
sh600056,中国医药,2026-03-18
sh600057,厦门象屿,2026-03-18
sh600058,五矿发展,2026-03-18
sh600059,古越龙山,2026-03-18
sh600060,海信视像,2026-03-18
sh600061,国投资本,2026-03-18
sh600062,华润双鹤,2026-03-18
sh600063,皖维高新,2026-03-18
sh600064,南京高科,2026-03-18
sh600066,宇通客车,2026-03-18
sh600067,冠城新材,2026-03-18
sh600071,凤凰光学,2026-03-18
